25: Ground truth-dog, Test result A-deer, Test result B-deer
2730: Ground truth-dog, Test result A-cat, Test result B-cat
2734: Ground truth-cat, Test result A-horse, Test result B-horse
2756: Ground truth-dog, Test result A-horse, Test result B-horse
2763: Ground truth-deer, Test result A-bird, Test result B-bird
2768: Ground truth-dog, Test result A-cat, Test result B-cat
2770: Ground truth-bird, Test result A-truck, Test result B-truck
2780: Ground truth-cat, Test result A-bird, Test result B-bird
2789: Ground truth-horse, Test result A-frog, Test result B-cat
2798: Ground truth-frog, Test result A-dog, Test result B-deer
2799: Ground truth-cat, Test result A-dog, Test result B-dog
2805: Ground truth-cat, Test result A-deer, Test result B-bird
2809: Ground truth-bird, Test result A-cat, Test result B-cat
2822: Ground truth-airplane, Test result A-horse, Test result B-deer
2823: Ground truth-cat, Test result A-dog, Test result B-dog
2826: Ground truth-bird, Test result A-frog, Test result B-frog
2836: Ground truth-deer, Test result A-cat, Test result B-dog
2844: Ground truth-automobile, Test result A-ship, Test result B-cat
2845: Ground truth-deer, Test result A-cat, Test result B-cat
2848: Ground truth-ship, Test result A-airplane, Test result B-airplane
2855: Ground truth-truck, Test result A-horse, Test result B-horse
2860: Ground truth-automobile, Test result A-truck, Test result B-truck
2875: Ground truth-ship, Test result A-truck, Test result B-truck
2879: Ground truth-cat, Test result A-dog, Test result B-horse
2889: Ground truth-horse, Test result A-cat, Test result B-deer
2890: Ground truth-horse, Test result A-dog, Test result B-dog
2896: Ground truth-horse, Test result A-dog, Test result B-dog
2901: Ground truth-cat, Test result A-dog, Test result B-bird
2911: Ground truth-ship, Test result A-airplane, Test result B-bird
2913: Ground truth-bird, Test result A-cat, Test result B-cat
2931: Ground truth-horse, Test result A-dog, Test result B-cat
2941: Ground truth-cat, Test result A-airplane, Test result B-airplane
2949: Ground truth-dog, Test result A-cat, Test result B-cat
2959: Ground truth-airplane, Test result A-ship, Test result B-ship
2960: Ground truth-horse, Test result A-deer, Test result B-deer
2961: Ground truth-truck, Test result A-airplane, Test result B-airplane
2976: Ground truth-truck, Test result A-bird, Test result B-deer
2978: Ground truth-bird, Test result A-frog, Test result B-frog
2979: Ground truth-bird, Test result A-horse, Test result B-horse
2986: Ground truth-bird, Test result A-truck, Test result B-airplane
2987: Ground truth-automobile, Test result A-ship, Test result B-ship
2988: Ground truth-automobile, Test result A-frog, Test result B-deer
2989: Ground truth-dog, Test result A-cat, Test result B-cat
2990: Ground truth-dog, Test result A-frog, Test result B-frog
2993: Ground truth-deer, Test result A-ship, Test result B-ship
2998: Ground truth-bird, Test result A-dog, Test result B-dog
3003: Ground truth-horse, Test result A-dog, Test result B-deer
3004: Ground truth-bird, Test result A-airplane, Test result B-truck
3006: Ground truth-airplane, Test result A-bird, Test result B-bird
3024: Ground truth-cat, Test result A-bird, Test result B-dog
3026: Ground truth-bird, Test result A-frog, Test result B-frog
3027: Ground truth-dog, Test result A-horse, Test result B-horse
3030: Ground truth-automobile, Test result A-truck, Test result B-truck
3033: Ground truth-bird, Test result A-automobile, Test result B-automobile
3039: Ground truth-cat, Test result A-deer, Test result B-deer
3043: Ground truth-ship, Test result A-cat, Test result B-cat
3053: Ground truth-cat, Test result A-bird, Test result B-bird
3054: Ground truth-deer, Test result A-cat, Test result B-cat
3055: Ground truth-deer, Test result A-ship, Test result B-ship
3060: Ground truth-dog, Test result A-horse, Test result B-horse
3069: Ground truth-bird, Test result A-airplane, Test result B-airplane
3073: Ground truth-ship, Test result A-automobile, Test result B-automobile
3074: Ground truth-cat, Test result A-dog, Test result B-dog
3076: Ground truth-frog, Test result A-cat, Test result B-cat
3084: Ground truth-dog, Test result A-airplane, Test result B-airplane
3093: Ground truth-dog, Test result A-horse, Test result B-horse
3095: Ground truth-bird, Test result A-airplane, Test result B-airplane
3114: Ground truth-cat, Test result A-bird, Test result B-bird
3115: Ground truth-bird, Test result A-ship, Test result B-ship
3116: Ground truth-dog, Test result A-cat, Test result B-bird
3121: Ground truth-deer, Test result A-bird, Test result B-bird
3136: Ground truth-horse, Test result A-dog, Test result B-dog
3140: Ground truth-bird, Test result A-truck, Test result B-truck
3151: Ground truth-automobile, Test result A-truck, Test result B-truck
3165: Ground truth-airplane, Test result A-bird, Test result B-bird
3166: Ground truth-automobile, Test result A-truck, Test result B-truck
3172: Ground truth-airplane, Test result A-automobile, Test result B-automobile
3181: Ground truth-cat, Test result A-frog, Test result B-frog
3187: Ground truth-horse, Test result A-bird, Test result B-airplane
3193: Ground truth-dog, Test result A-bird, Test result B-deer
3205: Ground truth-dog, Test result A-cat, Test result B-cat
3208: Ground truth-airplane, Test result A-bird, Test result B-cat
3210: Ground truth-horse, Test result A-dog, Test result B-dog
3212: Ground truth-airplane, Test result A-truck, Test result B-automobile
3219: Ground truth-truck, Test result A-airplane, Test result B-bird
3221: Ground truth-cat, Test result A-truck, Test result B-truck
3228: Ground truth-bird, Test result A-deer, Test result B-deer
3231: Ground truth-cat, Test result A-dog, Test result B-dog
3237: Ground truth-dog, Test result A-cat, Test result B-cat
3247: Ground truth-automobile, Test result A-ship, Test result B-ship
3251: Ground truth-bird, Test result A-frog, Test result B-frog
3265: Ground truth-dog, Test result A-ship, Test result B-airplane
3272: Ground truth-dog, Test result A-frog, Test result B-frog
3276: Ground truth-dog, Test result A-deer, Test result B-horse
3284: Ground truth-horse, Test result A-cat, Test result B-cat
3288: Ground truth-dog, Test result A-horse, Test result B-horse
3300: Ground truth-airplane, Test result A-deer, Test result B-bird
3302: Ground truth-ship, Test result A-airplane, Test result B-airplane
3307: Ground truth-dog, Test result A-cat, Test result B-deer
3320: Ground truth-bird, Test result A-cat, Test result B-frog
3321: Ground truth-bird, Test result A-horse, Test result B-truck
3325: Ground truth-cat, Test result A-frog, Test result B-frog
3328: Ground truth-horse, Test result A-cat, Test result B-cat
3336: Ground truth-airplane, Test result A-truck, Test result B-truck
3340: Ground truth-truck, Test result A-cat, Test result B-cat
3344: Ground truth-cat, Test result A-dog, Test result B-horse
3350: Ground truth-frog, Test result A-bird, Test result B-bird
3356: Ground truth-dog, Test result A-cat, Test result B-bird
3358: Ground truth-ship, Test result A-airplane, Test result B-bird
3360: Ground truth-horse, Test result A-cat, Test result B-cat
3376: Ground truth-deer, Test result A-frog, Test result B-frog
3383: Ground truth-bird, Test result A-deer, Test result B-deer
3391: Ground truth-cat, Test result A-dog, Test result B-dog
3393: Ground truth-automobile, Test result A-truck, Test result B-ship
3397: Ground truth-airplane, Test result A-bird, Test result B-bird
3401: Ground truth-frog, Test result A-automobile, Test result B-ship
3415: Ground truth-cat, Test result A-dog, Test result B-horse
3417: Ground truth-horse, Test result A-bird, Test result B-deer
3418: Ground truth-horse, Test result A-deer, Test result B-deer
3423: Ground truth-bird, Test result A-cat, Test result B-cat
3430: Ground truth-airplane, Test result A-bird, Test result B-bird
3431: Ground truth-ship, Test result A-airplane, Test result B-airplane
3437: Ground truth-deer, Test result A-cat, Test result B-cat
3440: Ground truth-deer, Test result A-frog, Test result B-cat
3441: Ground truth-bird, Test result A-cat, Test result B-cat
3443: Ground truth-frog, Test result A-cat, Test result B-cat
3444: Ground truth-deer, Test result A-bird, Test result B-bird
3447: Ground truth-frog, Test result A-cat, Test result B-cat
3451: Ground truth-truck, Test result A-automobile, Test result B-automobile
3453: Ground truth-dog, Test result A-cat, Test result B-cat
3460: Ground truth-truck, Test result A-automobile, Test result B-automobile
3462: Ground truth-horse, Test result A-dog, Test result B-dog
3471: Ground truth-horse, Test result A-truck, Test result B-truck
3490: Ground truth-cat, Test result A-truck, Test result B-truck
3497: Ground truth-dog, Test result A-airplane, Test result B-airplane
3498: Ground truth-airplane, Test result A-truck, Test result B-automobile
3499: Ground truth-deer, Test result A-ship, Test result B-ship
3502: Ground truth-truck, Test result A-automobile, Test result B-automobile
3503: Ground truth-ship, Test result A-cat, Test result B-truck
3504: Ground truth-deer, Test result A-horse, Test result B-horse
3507: Ground truth-bird, Test result A-truck, Test result B-frog
3512: Ground truth-airplane, Test result A-ship, Test result B-ship
3514: Ground truth-cat, Test result A-deer, Test result B-frog
3515: Ground truth-bird, Test result A-dog, Test result B-dog
3518: Ground truth-automobile, Test result A-bird, Test result B-bird
3524: Ground truth-deer, Test result A-frog, Test result B-frog
3525: Ground truth-dog, Test result A-deer, Test result B-deer
3532: Ground truth-ship, Test result A-truck, Test result B-truck
3551: Ground truth-airplane, Test result A-horse, Test result B-deer
3555: Ground truth-automobile, Test result A-truck, Test result B-truck
3556: Ground truth-frog, Test result A-cat, Test result B-cat
3558: Ground truth-truck, Test result A-cat, Test result B-frog
3561: Ground truth-automobile, Test result A-truck, Test result B-truck
3562: Ground truth-horse, Test result A-dog, Test result B-dog
3565: Ground truth-truck, Test result A-airplane, Test result B-airplane
3570: Ground truth-truck, Test result A-frog, Test result B-frog
3575: Ground truth-dog, Test result A-horse, Test result B-airplane
3578: Ground truth-truck, Test result A-ship, Test result B-automobile
3585: Ground truth-cat, Test result A-dog, Test result B-dog
3588: Ground truth-airplane, Test result A-frog, Test result B-frog
3595: Ground truth-cat, Test result A-dog, Test result B-dog
3597: Ground truth-bird, Test result A-deer, Test result B-frog
3601: Ground truth-deer, Test result A-bird, Test result B-bird
3608: Ground truth-cat, Test result A-bird, Test result B-bird
3611: Ground truth-dog, Test result A-cat, Test result B-cat
3615: Ground truth-cat, Test result A-dog, Test result B-dog
3616: Ground truth-frog, Test result A-horse, Test result B-bird
3619: Ground truth-deer, Test result A-bird, Test result B-bird
3622: Ground truth-deer, Test result A-bird, Test result B-bird
3623: Ground truth-dog, Test result A-deer, Test result B-cat
3625: Ground truth-bird, Test result A-deer, Test result B-deer
3632: Ground truth-airplane, Test result A-ship, Test result B-truck
3638: Ground truth-bird, Test result A-frog, Test result B-frog
3641: Ground truth-frog, Test result A-bird, Test result B-bird
3646: Ground truth-automobile, Test result A-truck, Test result B-truck
3655: Ground truth-cat, Test result A-dog, Test result B-dog
3659: Ground truth-bird, Test result A-deer, Test result B-deer
3669: Ground truth-bird, Test result A-frog, Test result B-frog
3670: Ground truth-dog, Test result A-deer, Test result B-cat
3674: Ground truth-bird, Test result A-automobile, Test result B-automobile
3684: Ground truth-ship, Test result A-dog, Test result B-cat
3689: Ground truth-dog, Test result A-horse, Test result B-cat
3691: Ground truth-truck, Test result A-automobile, Test result B-automobile
3694: Ground truth-frog, Test result A-ship, Test result B-dog
3701: Ground truth-cat, Test result A-dog, Test result B-dog
3717: Ground truth-cat, Test result A-frog, Test result B-frog
3722: Ground truth-bird, Test result A-airplane, Test result B-airplane
3727: Ground truth-dog, Test result A-cat, Test result B-cat
3729: Ground truth-bird, Test result A-cat, Test result B-cat
3734: Ground truth-bird, Test result A-cat, Test result B-cat
3742: Ground truth-bird, Test result A-horse, Test result B-horse
3747: Ground truth-horse, Test result A-frog, Test result B-bird
3754: Ground truth-deer, Test result A-frog, Test result B-frog
3756: Ground truth-truck, Test result A-airplane, Test result B-airplane
3763: Ground truth-automobile, Test result A-horse, Test result B-airplane
3767: Ground truth-deer, Test result A-horse, Test result B-horse
3772: Ground truth-bird, Test result A-airplane, Test result B-airplane
3774: Ground truth-bird, Test result A-dog, Test result B-dog
3779: Ground truth-horse, Test result A-deer, Test result B-deer
3780: Ground truth-cat, Test result A-bird, Test result B-bird
3790: Ground truth-truck, Test result A-dog, Test result B-bird
3800: Ground truth-cat, Test result A-horse, Test result B-horse
3807: Ground truth-dog, Test result A-automobile, Test result B-deer
3816: Ground truth-bird, Test result A-horse, Test result B-horse
3817: Ground truth-bird, Test result A-deer, Test result B-deer
3825: Ground truth-bird, Test result A-deer, Test result B-deer
3828: Ground truth-deer, Test result A-cat, Test result B-cat
3829: Ground truth-automobile, Test result A-deer, Test result B-deer
3833: Ground truth-horse, Test result A-airplane, Test result B-airplane
3865: Ground truth-cat, Test result A-truck, Test result B-truck
3868: Ground truth-cat, Test result A-dog, Test result B-dog
3869: Ground truth-dog, Test result A-bird, Test result B-bird
3876: Ground truth-bird, Test result A-horse, Test result B-horse
3879: Ground truth-dog, Test result A-cat, Test result B-cat
3883: Ground truth-automobile, Test result A-truck, Test result B-truck
3885: Ground truth-cat, Test result A-frog, Test result B-dog
3888: Ground truth-bird, Test result A-deer, Test result B-deer
3893: Ground truth-dog, Test result A-frog, Test result B-cat
3897: Ground truth-horse, Test result A-bird, Test result B-bird
3900: Ground truth-frog, Test result A-bird, Test result B-bird
3901: Ground truth-cat, Test result A-frog, Test result B-frog
3902: Ground truth-cat, Test result A-ship, Test result B-automobile
3907: Ground truth-cat, Test result A-deer, Test result B-airplane
3911: Ground truth-deer, Test result A-dog, Test result B-frog
3924: Ground truth-cat, Test result A-dog, Test result B-deer
3929: Ground truth-cat, Test result A-bird, Test result B-bird
3958: Ground truth-truck, Test result A-ship, Test result B-ship
3963: Ground truth-deer, Test result A-horse, Test result B-horse
3964: Ground truth-automobile, Test result A-dog, Test result B-dog
3978: Ground truth-cat, Test result A-frog, Test result B-frog
3981: Ground truth-truck, Test result A-bird, Test result B-deer
3996: Ground truth-horse, Test result A-truck, Test result B-truck
3997: Ground truth-frog, Test result A-bird, Test result B-dog
3998: Ground truth-bird, Test result A-deer, Test result B-deer
4001: Ground truth-ship, Test result A-horse, Test result B-truck
4003: Ground truth-deer, Test result A-horse, Test result B-horse
4004: Ground truth-bird, Test result A-airplane, Test result B-airplane
4013: Ground truth-cat, Test result A-truck, Test result B-truck
4020: Ground truth-horse, Test result A-deer, Test result B-deer
4024: Ground truth-deer, Test result A-cat, Test result B-cat
4030: Ground truth-deer, Test result A-frog, Test result B-cat
4037: Ground truth-horse, Test result A-airplane, Test result B-airplane
4039: Ground truth-airplane, Test result A-truck, Test result B-truck
4049: Ground truth-dog, Test result A-horse, Test result B-horse
4052: Ground truth-dog, Test result A-cat, Test result B-cat
4055: Ground truth-horse, Test result A-airplane, Test result B-airplane
4056: Ground truth-automobile, Test result A-airplane, Test result B-airplane
4078: Ground truth-cat, Test result A-dog, Test result B-dog
4090: Ground truth-dog, Test result A-cat, Test result B-bird
4095: Ground truth-cat, Test result A-dog, Test result B-dog
4098: Ground truth-cat, Test result A-horse, Test result B-horse
4100: Ground truth-deer, Test result A-cat, Test result B-cat
4107: Ground truth-cat, Test result A-airplane, Test result B-airplane
4112: Ground truth-deer, Test result A-truck, Test result B-horse
4113: Ground truth-deer, Test result A-dog, Test result B-dog
4126: Ground truth-ship, Test result A-deer, Test result B-bird
4134: Ground truth-bird, Test result A-cat, Test result B-cat
4138: Ground truth-deer, Test result A-cat, Test result B-dog
4140: Ground truth-dog, Test result A-deer, Test result B-deer
4141: Ground truth-dog, Test result A-cat, Test result B-horse
4148: Ground truth-cat, Test result A-bird, Test result B-bird
4153: Ground truth-dog, Test result A-automobile, Test result B-automobile
4164: Ground truth-bird, Test result A-frog, Test result B-frog
4176: Ground truth-cat, Test result A-horse, Test result B-horse
4191: Ground truth-cat, Test result A-horse, Test result B-horse
4199: Ground truth-ship, Test result A-airplane, Test result B-airplane
4211: Ground truth-cat, Test result A-automobile, Test result B-automobile
4212: Ground truth-deer, Test result A-horse, Test result B-horse
4221: Ground truth-deer, Test result A-bird, Test result B-airplane
4231: Ground truth-frog, Test result A-cat, Test result B-cat
4245: Ground truth-bird, Test result A-horse, Test result B-horse
4265: Ground truth-bird, Test result A-cat, Test result B-cat
4277: Ground truth-truck, Test result A-ship, Test result B-automobile
4278: Ground truth-cat, Test result A-dog, Test result B-dog
4281: Ground truth-ship, Test result A-airplane, Test result B-airplane
4282: Ground truth-horse, Test result A-bird, Test result B-dog
4297: Ground truth-ship, Test result A-automobile, Test result B-automobile
4300: Ground truth-bird, Test result A-airplane, Test result B-ship
4302: Ground truth-frog, Test result A-deer, Test result B-deer
4303: Ground truth-bird, Test result A-dog, Test result B-cat
4305: Ground truth-frog, Test result A-dog, Test result B-dog
4308: Ground truth-cat, Test result A-bird, Test result B-dog
4310: Ground truth-horse, Test result A-bird, Test result B-bird
4314: Ground truth-airplane, Test result A-cat, Test result B-cat
4316: Ground truth-frog, Test result A-bird, Test result B-bird
4320: Ground truth-bird, Test result A-frog, Test result B-frog
4321: Ground truth-automobile, Test result A-airplane, Test result B-airplane
4322: Ground truth-dog, Test result A-cat, Test result B-cat
4332: Ground truth-bird, Test result A-deer, Test result B-deer
4335: Ground truth-cat, Test result A-horse, Test result B-horse
4336: Ground truth-truck, Test result A-ship, Test result B-ship
4356: Ground truth-airplane, Test result A-cat, Test result B-cat
4358: Ground truth-deer, Test result A-cat, Test result B-cat
4369: Ground truth-deer, Test result A-cat, Test result B-cat
4376: Ground truth-cat, Test result A-deer, Test result B-deer
4384: Ground truth-deer, Test result A-cat, Test result B-bird
4392: Ground truth-cat, Test result A-truck, Test result B-airplane
4394: Ground truth-cat, Test result A-truck, Test result B-truck
4399: Ground truth-deer, Test result A-dog, Test result B-cat
4405: Ground truth-cat, Test result A-deer, Test result B-deer
4409: Ground truth-airplane, Test result A-automobile, Test result B-automobile
4422: Ground truth-bird, Test result A-dog, Test result B-dog
4424: Ground truth-frog, Test result A-bird, Test result B-bird
4443: Ground truth-cat, Test result A-automobile, Test result B-truck
4450: Ground truth-truck, Test result A-automobile, Test result B-automobile
4463: Ground truth-bird, Test result A-dog, Test result B-dog
4464: Ground truth-dog, Test result A-bird, Test result B-bird
4477: Ground truth-automobile, Test result A-cat, Test result B-cat
4478: Ground truth-frog, Test result A-cat, Test result B-deer
4480: Ground truth-horse, Test result A-deer, Test result B-deer
4482: Ground truth-truck, Test result A-ship, Test result B-ship
4486: Ground truth-cat, Test result A-horse, Test result B-horse
4500: Ground truth-cat, Test result A-horse, Test result B-frog
4501: Ground truth-cat, Test result A-dog, Test result B-dog
4504: Ground truth-horse, Test result A-deer, Test result B-deer
4505: Ground truth-airplane, Test result A-dog, Test result B-dog
4509: Ground truth-truck, Test result A-cat, Test result B-ship
4514: Ground truth-deer, Test result A-cat, Test result B-cat
4522: Ground truth-truck, Test result A-horse, Test result B-cat
4538: Ground truth-cat, Test result A-frog, Test result B-frog
4540: Ground truth-ship, Test result A-automobile, Test result B-truck
4548: Ground truth-cat, Test result A-dog, Test result B-dog
4551: Ground truth-truck, Test result A-deer, Test result B-deer
4556: Ground truth-dog, Test result A-cat, Test result B-cat
4563: Ground truth-deer, Test result A-dog, Test result B-dog
4566: Ground truth-bird, Test result A-horse, Test result B-horse
4591: Ground truth-truck, Test result A-bird, Test result B-bird
4597: Ground truth-horse, Test result A-deer, Test result B-dog
4601: Ground truth-deer, Test result A-horse, Test result B-horse
4606: Ground truth-cat, Test result A-bird, Test result B-bird
4607: Ground truth-airplane, Test result A-cat, Test result B-bird
4611: Ground truth-frog, Test result A-airplane, Test result B-cat
4616: Ground truth-dog, Test result A-deer, Test result B-frog
4619: Ground truth-cat, Test result A-frog, Test result B-frog
4623: Ground truth-bird, Test result A-dog, Test result B-deer
4625: Ground truth-dog, Test result A-cat, Test result B-deer
4631: Ground truth-bird, Test result A-cat, Test result B-cat
4633: Ground truth-dog, Test result A-bird, Test result B-deer
4635: Ground truth-horse, Test result A-dog, Test result B-dog
4644: Ground truth-cat, Test result A-bird, Test result B-bird
4647: Ground truth-bird, Test result A-horse, Test result B-dog
4656: Ground truth-horse, Test result A-dog, Test result B-dog
4661: Ground truth-horse, Test result A-cat, Test result B-deer
4662: Ground truth-deer, Test result A-cat, Test result B-dog
4679: Ground truth-truck, Test result A-ship, Test result B-ship
4682: Ground truth-truck, Test result A-automobile, Test result B-automobile
4687: Ground truth-airplane, Test result A-ship, Test result B-ship
4692: Ground truth-bird, Test result A-frog, Test result B-frog
4698: Ground truth-dog, Test result A-cat, Test result B-cat
4706: Ground truth-cat, Test result A-airplane, Test result B-airplane
4721: Ground truth-ship, Test result A-airplane, Test result B-airplane
4730: Ground truth-bird, Test result A-dog, Test result B-dog
4731: Ground truth-bird, Test result A-deer, Test result B-deer
4733: Ground truth-bird, Test result A-deer, Test result B-deer
4741: Ground truth-dog, Test result A-cat, Test result B-cat
4745: Ground truth-frog, Test result A-airplane, Test result B-airplane
4749: Ground truth-airplane, Test result A-automobile, Test result B-automobile
4751: Ground truth-horse, Test result A-truck, Test result B-truck
4755: Ground truth-cat, Test result A-airplane, Test result B-airplane
4761: Ground truth-cat, Test result A-dog, Test result B-bird
4766: Ground truth-cat, Test result A-deer, Test result B-deer
4780: Ground truth-truck, Test result A-ship, Test result B-automobile
4784: Ground truth-deer, Test result A-airplane, Test result B-horse
4787: Ground truth-frog, Test result A-bird, Test result B-bird
4793: Ground truth-airplane, Test result A-deer, Test result B-deer
4794: Ground truth-frog, Test result A-automobile, Test result B-automobile
4795: Ground truth-deer, Test result A-bird, Test result B-bird
4796: Ground truth-dog, Test result A-cat, Test result B-cat
4802: Ground truth-bird, Test result A-horse, Test result B-horse
4806: Ground truth-dog, Test result A-cat, Test result B-cat
4809: Ground truth-cat, Test result A-dog, Test result B-dog
4812: Ground truth-bird, Test result A-airplane, Test result B-airplane
4824: Ground truth-dog, Test result A-ship, Test result B-ship
4834: Ground truth-bird, Test result A-deer, Test result B-deer
4848: Ground truth-deer, Test result A-cat, Test result B-cat
4850: Ground truth-dog, Test result A-cat, Test result B-cat
4862: Ground truth-airplane, Test result A-automobile, Test result B-truck
4863: Ground truth-cat, Test result A-airplane, Test result B-bird
4866: Ground truth-ship, Test result A-truck, Test result B-truck
4874: Ground truth-bird, Test result A-airplane, Test result B-airplane
4881: Ground truth-airplane, Test result A-ship, Test result B-truck
4885: Ground truth-deer, Test result A-dog, Test result B-cat
4890: Ground truth-deer, Test result A-horse, Test result B-cat
4893: Ground truth-horse, Test result A-deer, Test result B-deer
4903: Ground truth-deer, Test result A-horse, Test result B-horse
4930: Ground truth-truck, Test result A-automobile, Test result B-automobile
4932: Ground truth-truck, Test result A-automobile, Test result B-automobile
4939: Ground truth-cat, Test result A-automobile, Test result B-truck
4942: Ground truth-frog, Test result A-cat, Test result B-cat
4943: Ground truth-dog, Test result A-airplane, Test result B-airplane
4948: Ground truth-dog, Test result A-cat, Test result B-cat
4956: Ground truth-bird, Test result A-airplane, Test result B-airplane
4965: Ground truth-dog, Test result A-bird, Test result B-bird
4966: Ground truth-cat, Test result A-deer, Test result B-bird
4973: Ground truth-ship, Test result A-frog, Test result B-cat
4974: Ground truth-automobile, Test result A-truck, Test result B-truck
4982: Ground truth-automobile, Test result A-airplane, Test result B-airplane
4983: Ground truth-cat, Test result A-dog, Test result B-dog
4985: Ground truth-horse, Test result A-cat, Test result B-dog
4987: Ground truth-ship, Test result A-truck, Test result B-bird
4991: Ground truth-horse, Test result A-dog, Test result B-dog
4996: Ground truth-bird, Test result A-cat, Test result B-dog
4997: Ground truth-cat, Test result A-dog, Test result B-dog
5007: Ground truth-horse, Test result A-bird, Test result B-bird
5010: Ground truth-horse, Test result A-bird, Test result B-bird
5012: Ground truth-cat, Test result A-dog, Test result B-dog
5014: Ground truth-airplane, Test result A-bird, Test result B-bird
5024: Ground truth-bird, Test result A-deer, Test result B-deer
5032: Ground truth-deer, Test result A-airplane, Test result B-airplane
5035: Ground truth-ship, Test result A-airplane, Test result B-airplane
5049: Ground truth-automobile, Test result A-truck, Test result B-ship
5051: Ground truth-cat, Test result A-dog, Test result B-dog
5054: Ground truth-horse, Test result A-cat, Test result B-cat
5057: Ground truth-automobile, Test result A-bird, Test result B-bird
5072: Ground truth-automobile, Test result A-bird, Test result B-frog
5075: Ground truth-airplane, Test result A-deer, Test result B-bird
5086: Ground truth-bird, Test result A-frog, Test result B-frog
5087: Ground truth-cat, Test result A-deer, Test result B-deer
5089: Ground truth-ship, Test result A-dog, Test result B-dog
5094: Ground truth-airplane, Test result A-ship, Test result B-ship
5099: Ground truth-dog, Test result A-truck, Test result B-bird
5103: Ground truth-dog, Test result A-bird, Test result B-deer
5107: Ground truth-frog, Test result A-dog, Test result B-dog
5120: Ground truth-dog, Test result A-horse, Test result B-horse
5128: Ground truth-automobile, Test result A-ship, Test result B-ship
5130: Ground truth-bird, Test result A-frog, Test result B-frog
5135: Ground truth-dog, Test result A-frog, Test result B-cat
5145: Ground truth-airplane, Test result A-truck, Test result B-automobile
5152: Ground truth-truck, Test result A-airplane, Test result B-airplane
5155: Ground truth-bird, Test result A-deer, Test result B-deer
5156: Ground truth-cat, Test result A-dog, Test result B-dog
5163: Ground truth-horse, Test result A-dog, Test result B-bird
5164: Ground truth-dog, Test result A-cat, Test result B-cat
5184: Ground truth-deer, Test result A-cat, Test result B-bird
5185: Ground truth-deer, Test result A-frog, Test result B-frog
5188: Ground truth-deer, Test result A-cat, Test result B-dog
5194: Ground truth-deer, Test result A-cat, Test result B-bird
5204: Ground truth-frog, Test result A-dog, Test result B-dog
5214: Ground truth-cat, Test result A-horse, Test result B-horse
5219: Ground truth-cat, Test result A-dog, Test result B-dog
5220: Ground truth-bird, Test result A-frog, Test result B-frog
5236: Ground truth-automobile, Test result A-frog, Test result B-frog
5239: Ground truth-bird, Test result A-airplane, Test result B-airplane
5242: Ground truth-deer, Test result A-frog, Test result B-frog
5262: Ground truth-bird, Test result A-horse, Test result B-horse
5269: Ground truth-cat, Test result A-airplane, Test result B-airplane
5274: Ground truth-horse, Test result A-truck, Test result B-truck
5290: Ground truth-deer, Test result A-bird, Test result B-bird
5293: Ground truth-deer, Test result A-dog, Test result B-horse
5303: Ground truth-airplane, Test result A-bird, Test result B-bird
5310: Ground truth-cat, Test result A-dog, Test result B-dog
5312: Ground truth-truck, Test result A-cat, Test result B-bird
5315: Ground truth-horse, Test result A-frog, Test result B-cat
5319: Ground truth-automobile, Test result A-airplane, Test result B-airplane
5321: Ground truth-horse, Test result A-cat, Test result B-cat
5325: Ground truth-bird, Test result A-airplane, Test result B-ship
5328: Ground truth-airplane, Test result A-ship, Test result B-ship
5329: Ground truth-airplane, Test result A-automobile, Test result B-automobile
5330: Ground truth-deer, Test result A-ship, Test result B-ship
5331: Ground truth-horse, Test result A-cat, Test result B-cat
5341: Ground truth-cat, Test result A-deer, Test result B-deer
5351: Ground truth-truck, Test result A-automobile, Test result B-automobile
5353: Ground truth-dog, Test result A-cat, Test result B-cat
5363: Ground truth-bird, Test result A-deer, Test result B-deer
5367: Ground truth-automobile, Test result A-truck, Test result B-truck
5373: Ground truth-dog, Test result A-ship, Test result B-cat
5378: Ground truth-dog, Test result A-cat, Test result B-cat
5386: Ground truth-bird, Test result A-cat, Test result B-cat
5387: Ground truth-automobile, Test result A-ship, Test result B-truck
5400: Ground truth-frog, Test result A-cat, Test result B-cat
5405: Ground truth-bird, Test result A-frog, Test result B-frog
5406: Ground truth-bird, Test result A-airplane, Test result B-airplane
5408: Ground truth-deer, Test result A-horse, Test result B-horse
5411: Ground truth-cat, Test result A-horse, Test result B-horse
5412: Ground truth-bird, Test result A-frog, Test result B-frog
5414: Ground truth-cat, Test result A-dog, Test result B-dog
5417: Ground truth-truck, Test result A-automobile, Test result B-automobile
5434: Ground truth-cat, Test result A-dog, Test result B-dog
5436: Ground truth-horse, Test result A-cat, Test result B-deer
5442: Ground truth-dog, Test result A-cat, Test result B-cat
5451: Ground truth-dog, Test result A-cat, Test result B-cat
5456: Ground truth-truck, Test result A-automobile, Test result B-airplane
5459: Ground truth-cat, Test result A-frog, Test result B-frog
5461: Ground truth-airplane, Test result A-cat, Test result B-horse
5470: Ground truth-dog, Test result A-cat, Test result B-cat
5488: Ground truth-frog, Test result A-horse, Test result B-bird
5491: Ground truth-cat, Test result A-dog, Test result B-dog
5497: Ground truth-deer, Test result A-frog, Test result B-frog
5498: Ground truth-cat, Test result A-deer, Test result B-bird
5507: Ground truth-cat, Test result A-deer, Test result B-deer
5512: Ground truth-cat, Test result A-frog, Test result B-frog
5521: Ground truth-deer, Test result A-bird, Test result B-frog
