7: Ground truth-automobile, Test result-airplane
2896: Ground truth-horse, Test result-dog
2899: Ground truth-ship, Test result-frog
2901: Ground truth-cat, Test result-dog
2911: Ground truth-ship, Test result-airplane
2913: Ground truth-bird, Test result-cat
2921: Ground truth-bird, Test result-deer
2931: Ground truth-horse, Test result-dog
2941: Ground truth-cat, Test result-airplane
2949: Ground truth-dog, Test result-cat
2956: Ground truth-bird, Test result-horse
2959: Ground truth-airplane, Test result-ship
2960: Ground truth-horse, Test result-deer
2961: Ground truth-truck, Test result-airplane
2971: Ground truth-dog, Test result-cat
2976: Ground truth-truck, Test result-bird
2978: Ground truth-bird, Test result-frog
2979: Ground truth-bird, Test result-horse
2986: Ground truth-bird, Test result-truck
2987: Ground truth-automobile, Test result-ship
2988: Ground truth-automobile, Test result-frog
2989: Ground truth-dog, Test result-cat
2990: Ground truth-dog, Test result-frog
2993: Ground truth-deer, Test result-ship
2998: Ground truth-bird, Test result-dog
3003: Ground truth-horse, Test result-dog
3004: Ground truth-bird, Test result-airplane
3006: Ground truth-airplane, Test result-bird
3014: Ground truth-cat, Test result-dog
3024: Ground truth-cat, Test result-bird
3026: Ground truth-bird, Test result-frog
3027: Ground truth-dog, Test result-horse
3030: Ground truth-automobile, Test result-truck
3033: Ground truth-bird, Test result-automobile
3039: Ground truth-cat, Test result-deer
3043: Ground truth-ship, Test result-cat
3044: Ground truth-deer, Test result-truck
3053: Ground truth-cat, Test result-bird
3054: Ground truth-deer, Test result-cat
3055: Ground truth-deer, Test result-ship
3060: Ground truth-dog, Test result-horse
3069: Ground truth-bird, Test result-airplane
3073: Ground truth-ship, Test result-automobile
3074: Ground truth-cat, Test result-dog
3076: Ground truth-frog, Test result-cat
3080: Ground truth-ship, Test result-automobile
3084: Ground truth-dog, Test result-airplane
3086: Ground truth-bird, Test result-automobile
3093: Ground truth-dog, Test result-horse
3095: Ground truth-bird, Test result-airplane
3096: Ground truth-deer, Test result-horse
3101: Ground truth-airplane, Test result-bird
3111: Ground truth-horse, Test result-dog
3114: Ground truth-cat, Test result-bird
3115: Ground truth-bird, Test result-ship
3116: Ground truth-dog, Test result-cat
3121: Ground truth-deer, Test result-bird
3130: Ground truth-cat, Test result-dog
3136: Ground truth-horse, Test result-dog
3140: Ground truth-bird, Test result-truck
3149: Ground truth-airplane, Test result-ship
3151: Ground truth-automobile, Test result-truck
3165: Ground truth-airplane, Test result-bird
3166: Ground truth-automobile, Test result-truck
3169: Ground truth-truck, Test result-deer
3172: Ground truth-airplane, Test result-automobile
3173: Ground truth-truck, Test result-automobile
3181: Ground truth-cat, Test result-frog
3186: Ground truth-bird, Test result-frog
3187: Ground truth-horse, Test result-bird
3189: Ground truth-deer, Test result-cat
3193: Ground truth-dog, Test result-bird
3205: Ground truth-dog, Test result-cat
3208: Ground truth-airplane, Test result-bird
3209: Ground truth-truck, Test result-ship
3210: Ground truth-horse, Test result-dog
3212: Ground truth-airplane, Test result-truck
3215: Ground truth-frog, Test result-cat
3217: Ground truth-deer, Test result-cat
3219: Ground truth-truck, Test result-airplane
3220: Ground truth-airplane, Test result-bird
3221: Ground truth-cat, Test result-truck
3222: Ground truth-dog, Test result-cat
3228: Ground truth-bird, Test result-deer
3231: Ground truth-cat, Test result-dog
3233: Ground truth-horse, Test result-bird
3237: Ground truth-dog, Test result-cat
3247: Ground truth-automobile, Test result-ship
3251: Ground truth-bird, Test result-frog
3259: Ground truth-airplane, Test result-deer
3263: Ground truth-bird, Test result-cat
3265: Ground truth-dog, Test result-ship
3272: Ground truth-dog, Test result-frog
3276: Ground truth-dog, Test result-deer
3284: Ground truth-horse, Test result-cat
3288: Ground truth-dog, Test result-horse
3300: Ground truth-airplane, Test result-deer
3302: Ground truth-ship, Test result-airplane
3307: Ground truth-dog, Test result-cat
3313: Ground truth-truck, Test result-dog
3319: Ground truth-ship, Test result-truck
3320: Ground truth-bird, Test result-cat
3321: Ground truth-bird, Test result-horse
3325: Ground truth-cat, Test result-frog
3326: Ground truth-frog, Test result-dog
3328: Ground truth-horse, Test result-cat
3336: Ground truth-airplane, Test result-truck
3339: Ground truth-airplane, Test result-bird
3340: Ground truth-truck, Test result-cat
3344: Ground truth-cat, Test result-dog
3350: Ground truth-frog, Test result-bird
3356: Ground truth-dog, Test result-cat
3358: Ground truth-ship, Test result-airplane
3360: Ground truth-horse, Test result-cat
3362: Ground truth-deer, Test result-dog
3364: Ground truth-bird, Test result-dog
3367: Ground truth-ship, Test result-bird
3376: Ground truth-deer, Test result-frog
3380: Ground truth-dog, Test result-cat
3383: Ground truth-bird, Test result-deer
3385: Ground truth-horse, Test result-dog
3388: Ground truth-cat, Test result-frog
3391: Ground truth-cat, Test result-dog
3393: Ground truth-automobile, Test result-truck
3397: Ground truth-airplane, Test result-bird
3401: Ground truth-frog, Test result-automobile
3409: Ground truth-bird, Test result-deer
3412: Ground truth-dog, Test result-cat
3415: Ground truth-cat, Test result-dog
3416: Ground truth-horse, Test result-cat
3417: Ground truth-horse, Test result-bird
3418: Ground truth-horse, Test result-deer
3423: Ground truth-bird, Test result-cat
3430: Ground truth-airplane, Test result-bird
3431: Ground truth-ship, Test result-airplane
3434: Ground truth-deer, Test result-cat
3435: Ground truth-dog, Test result-horse
3437: Ground truth-deer, Test result-cat
3440: Ground truth-deer, Test result-frog
3441: Ground truth-bird, Test result-cat
3443: Ground truth-frog, Test result-cat
3444: Ground truth-deer, Test result-bird
3447: Ground truth-frog, Test result-cat
3448: Ground truth-deer, Test result-bird
3450: Ground truth-automobile, Test result-truck
3451: Ground truth-truck, Test result-automobile
3453: Ground truth-dog, Test result-cat
3458: Ground truth-deer, Test result-horse
3460: Ground truth-truck, Test result-automobile
3462: Ground truth-horse, Test result-dog
3471: Ground truth-horse, Test result-truck
3475: Ground truth-bird, Test result-automobile
3490: Ground truth-cat, Test result-truck
3497: Ground truth-dog, Test result-airplane
3498: Ground truth-airplane, Test result-truck
3499: Ground truth-deer, Test result-ship
3501: Ground truth-automobile, Test result-truck
3502: Ground truth-truck, Test result-automobile
3503: Ground truth-ship, Test result-cat
3504: Ground truth-deer, Test result-horse
3507: Ground truth-bird, Test result-truck
3510: Ground truth-cat, Test result-bird
3512: Ground truth-airplane, Test result-ship
3514: Ground truth-cat, Test result-deer
3515: Ground truth-bird, Test result-dog
3518: Ground truth-automobile, Test result-bird
3524: Ground truth-deer, Test result-frog
3525: Ground truth-dog, Test result-deer
3532: Ground truth-ship, Test result-truck
3538: Ground truth-ship, Test result-airplane
3540: Ground truth-cat, Test result-horse
3545: Ground truth-automobile, Test result-truck
3551: Ground truth-airplane, Test result-horse
3555: Ground truth-automobile, Test result-truck
3556: Ground truth-frog, Test result-cat
3558: Ground truth-truck, Test result-cat
3561: Ground truth-automobile, Test result-truck
3562: Ground truth-horse, Test result-dog
3565: Ground truth-truck, Test result-airplane
3570: Ground truth-truck, Test result-frog
3575: Ground truth-dog, Test result-horse
3578: Ground truth-truck, Test result-ship
3581: Ground truth-deer, Test result-bird
3585: Ground truth-cat, Test result-dog
3588: Ground truth-airplane, Test result-frog
3595: Ground truth-cat, Test result-dog
3597: Ground truth-bird, Test result-deer
3601: Ground truth-deer, Test result-bird
3603: Ground truth-cat, Test result-deer
3608: Ground truth-cat, Test result-bird
3611: Ground truth-dog, Test result-cat
3615: Ground truth-cat, Test result-dog
3616: Ground truth-frog, Test result-horse
3619: Ground truth-deer, Test result-bird
3622: Ground truth-deer, Test result-bird
3623: Ground truth-dog, Test result-deer
3625: Ground truth-bird, Test result-deer
3630: Ground truth-automobile, Test result-airplane
3632: Ground truth-airplane, Test result-ship
3638: Ground truth-bird, Test result-frog
3641: Ground truth-frog, Test result-bird
3646: Ground truth-automobile, Test result-truck
3655: Ground truth-cat, Test result-dog
3659: Ground truth-bird, Test result-deer
3669: Ground truth-bird, Test result-frog
3670: Ground truth-dog, Test result-deer
3674: Ground truth-bird, Test result-automobile
3677: Ground truth-truck, Test result-automobile
3683: Ground truth-cat, Test result-deer
3684: Ground truth-ship, Test result-dog
3689: Ground truth-dog, Test result-horse
3691: Ground truth-truck, Test result-automobile
3694: Ground truth-frog, Test result-ship
3699: Ground truth-ship, Test result-airplane
3701: Ground truth-cat, Test result-dog
3715: Ground truth-cat, Test result-dog
3716: Ground truth-automobile, Test result-cat
3717: Ground truth-cat, Test result-frog
3722: Ground truth-bird, Test result-airplane
3727: Ground truth-dog, Test result-cat
3729: Ground truth-bird, Test result-cat
3734: Ground truth-bird, Test result-cat
3742: Ground truth-bird, Test result-horse
3747: Ground truth-horse, Test result-frog
3753: Ground truth-cat, Test result-automobile
3754: Ground truth-deer, Test result-frog
3756: Ground truth-truck, Test result-airplane
3758: Ground truth-deer, Test result-airplane
3763: Ground truth-automobile, Test result-horse
3767: Ground truth-deer, Test result-horse
3772: Ground truth-bird, Test result-airplane
3774: Ground truth-bird, Test result-dog
3775: Ground truth-dog, Test result-horse
3777: Ground truth-truck, Test result-airplane
3779: Ground truth-horse, Test result-deer
3780: Ground truth-cat, Test result-bird
3788: Ground truth-cat, Test result-frog
3790: Ground truth-truck, Test result-dog
3792: Ground truth-bird, Test result-dog
3794: Ground truth-frog, Test result-cat
3800: Ground truth-cat, Test result-horse
3805: Ground truth-dog, Test result-bird
3807: Ground truth-dog, Test result-automobile
3813: Ground truth-truck, Test result-automobile
3816: Ground truth-bird, Test result-horse
3817: Ground truth-bird, Test result-deer
3818: Ground truth-ship, Test result-automobile
3820: Ground truth-cat, Test result-dog
3825: Ground truth-bird, Test result-deer
3828: Ground truth-deer, Test result-cat
3829: Ground truth-automobile, Test result-deer
3830: Ground truth-ship, Test result-airplane
3833: Ground truth-horse, Test result-airplane
3836: Ground truth-cat, Test result-dog
3858: Ground truth-automobile, Test result-ship
3865: Ground truth-cat, Test result-truck
3868: Ground truth-cat, Test result-dog
3869: Ground truth-dog, Test result-bird
3876: Ground truth-bird, Test result-horse
3879: Ground truth-dog, Test result-cat
3883: Ground truth-automobile, Test result-truck
3885: Ground truth-cat, Test result-frog
3888: Ground truth-bird, Test result-deer
3893: Ground truth-dog, Test result-frog
3897: Ground truth-horse, Test result-bird
3900: Ground truth-frog, Test result-bird
3901: Ground truth-cat, Test result-frog
3902: Ground truth-cat, Test result-ship
3907: Ground truth-cat, Test result-deer
3911: Ground truth-deer, Test result-dog
3924: Ground truth-cat, Test result-dog
3926: Ground truth-automobile, Test result-ship
3929: Ground truth-cat, Test result-bird
3948: Ground truth-bird, Test result-deer
3949: Ground truth-automobile, Test result-truck
3954: Ground truth-horse, Test result-bird
3955: Ground truth-dog, Test result-horse
3957: Ground truth-cat, Test result-deer
3958: Ground truth-truck, Test result-ship
3960: Ground truth-dog, Test result-cat
3963: Ground truth-deer, Test result-horse
3964: Ground truth-automobile, Test result-dog
3978: Ground truth-cat, Test result-frog
3981: Ground truth-truck, Test result-bird
3996: Ground truth-horse, Test result-truck
3997: Ground truth-frog, Test result-bird
3998: Ground truth-bird, Test result-deer
4001: Ground truth-ship, Test result-horse
4003: Ground truth-deer, Test result-horse
4004: Ground truth-bird, Test result-airplane
4005: Ground truth-airplane, Test result-horse
4011: Ground truth-horse, Test result-airplane
4013: Ground truth-cat, Test result-truck
4020: Ground truth-horse, Test result-deer
4024: Ground truth-deer, Test result-cat
4030: Ground truth-deer, Test result-frog
4037: Ground truth-horse, Test result-airplane
4039: Ground truth-airplane, Test result-truck
4049: Ground truth-dog, Test result-horse
4052: Ground truth-dog, Test result-cat
4055: Ground truth-horse, Test result-airplane
4056: Ground truth-automobile, Test result-airplane
4059: Ground truth-horse, Test result-cat
4067: Ground truth-frog, Test result-bird
4078: Ground truth-cat, Test result-dog
4083: Ground truth-frog, Test result-cat
4090: Ground truth-dog, Test result-cat
4095: Ground truth-cat, Test result-dog
4098: Ground truth-cat, Test result-horse
4100: Ground truth-deer, Test result-cat
4107: Ground truth-cat, Test result-airplane
4112: Ground truth-deer, Test result-truck
4113: Ground truth-deer, Test result-dog
4119: Ground truth-airplane, Test result-bird
4120: Ground truth-frog, Test result-cat
4122: Ground truth-dog, Test result-horse
4126: Ground truth-ship, Test result-deer
4134: Ground truth-bird, Test result-cat
4136: Ground truth-automobile, Test result-bird
4138: Ground truth-deer, Test result-cat
4140: Ground truth-dog, Test result-deer
4141: Ground truth-dog, Test result-cat
4148: Ground truth-cat, Test result-bird
4153: Ground truth-dog, Test result-automobile
4164: Ground truth-bird, Test result-frog
4167: Ground truth-automobile, Test result-airplane
4176: Ground truth-cat, Test result-horse
4177: Ground truth-cat, Test result-dog
4186: Ground truth-horse, Test result-deer
4191: Ground truth-cat, Test result-horse
4199: Ground truth-ship, Test result-airplane
4205: Ground truth-bird, Test result-deer
4209: Ground truth-bird, Test result-horse
4210: Ground truth-deer, Test result-horse
4211: Ground truth-cat, Test result-automobile
4212: Ground truth-deer, Test result-horse
4221: Ground truth-deer, Test result-bird
4225: Ground truth-dog, Test result-deer
4231: Ground truth-frog, Test result-cat
4239: Ground truth-dog, Test result-bird
4245: Ground truth-bird, Test result-horse
4265: Ground truth-bird, Test result-cat
4268: Ground truth-horse, Test result-deer
4269: Ground truth-deer, Test result-dog
4274: Ground truth-dog, Test result-cat
4277: Ground truth-truck, Test result-ship
4278: Ground truth-cat, Test result-dog
4281: Ground truth-ship, Test result-airplane
4282: Ground truth-horse, Test result-bird
4283: Ground truth-cat, Test result-dog
4288: Ground truth-airplane, Test result-cat
4290: Ground truth-horse, Test result-truck
4291: Ground truth-bird, Test result-dog
4292: Ground truth-frog, Test result-cat
4297: Ground truth-ship, Test result-automobile
4300: Ground truth-bird, Test result-airplane
4302: Ground truth-frog, Test result-deer
4303: Ground truth-bird, Test result-dog
4305: Ground truth-frog, Test result-dog
4308: Ground truth-cat, Test result-bird
4310: Ground truth-horse, Test result-bird
4314: Ground truth-airplane, Test result-cat
4316: Ground truth-frog, Test result-bird
4320: Ground truth-bird, Test result-frog
4321: Ground truth-automobile, Test result-airplane
4322: Ground truth-dog, Test result-cat
4332: Ground truth-bird, Test result-deer
4335: Ground truth-cat, Test result-horse
4336: Ground truth-truck, Test result-ship
4356: Ground truth-airplane, Test result-cat
4358: Ground truth-deer, Test result-cat
4369: Ground truth-deer, Test result-cat
4376: Ground truth-cat, Test result-deer
4384: Ground truth-deer, Test result-cat
4387: Ground truth-frog, Test result-bird
4392: Ground truth-cat, Test result-truck
4394: Ground truth-cat, Test result-truck
4399: Ground truth-deer, Test result-dog
4405: Ground truth-cat, Test result-deer
4409: Ground truth-airplane, Test result-automobile
4412: Ground truth-dog, Test result-cat
4422: Ground truth-bird, Test result-dog
4424: Ground truth-frog, Test result-bird
4436: Ground truth-cat, Test result-dog
4439: Ground truth-bird, Test result-dog
4443: Ground truth-cat, Test result-automobile
4446: Ground truth-truck, Test result-automobile
4450: Ground truth-truck, Test result-automobile
4463: Ground truth-bird, Test result-dog
4464: Ground truth-dog, Test result-bird
4473: Ground truth-deer, Test result-frog
4476: Ground truth-automobile, Test result-truck
4477: Ground truth-automobile, Test result-cat
4478: Ground truth-frog, Test result-cat
4480: Ground truth-horse, Test result-deer
4482: Ground truth-truck, Test result-ship
4486: Ground truth-cat, Test result-horse
4494: Ground truth-deer, Test result-dog
4496: Ground truth-cat, Test result-dog
4500: Ground truth-cat, Test result-horse
4501: Ground truth-cat, Test result-dog
4504: Ground truth-horse, Test result-deer
4505: Ground truth-airplane, Test result-dog
4509: Ground truth-truck, Test result-cat
4514: Ground truth-deer, Test result-cat
4522: Ground truth-truck, Test result-horse
4529: Ground truth-dog, Test result-deer
4537: Ground truth-truck, Test result-automobile
4538: Ground truth-cat, Test result-frog
4540: Ground truth-ship, Test result-automobile
4548: Ground truth-cat, Test result-dog
4549: Ground truth-airplane, Test result-deer
4551: Ground truth-truck, Test result-deer
4556: Ground truth-dog, Test result-cat
4563: Ground truth-deer, Test result-dog
4564: Ground truth-horse, Test result-dog
4566: Ground truth-bird, Test result-horse
4571: Ground truth-truck, Test result-automobile
4586: Ground truth-ship, Test result-airplane
4587: Ground truth-airplane, Test result-bird
4590: Ground truth-cat, Test result-deer
4591: Ground truth-truck, Test result-bird
4596: Ground truth-truck, Test result-automobile
4597: Ground truth-horse, Test result-deer
4601: Ground truth-deer, Test result-horse
4606: Ground truth-cat, Test result-bird
4607: Ground truth-airplane, Test result-cat
4609: Ground truth-deer, Test result-frog
4611: Ground truth-frog, Test result-airplane
4615: Ground truth-cat, Test result-deer
4616: Ground truth-dog, Test result-deer
4619: Ground truth-cat, Test result-frog
4623: Ground truth-bird, Test result-dog
4625: Ground truth-dog, Test result-cat
4631: Ground truth-bird, Test result-cat
4633: Ground truth-dog, Test result-bird
4635: Ground truth-horse, Test result-dog
4640: Ground truth-airplane, Test result-truck
4644: Ground truth-cat, Test result-bird
4647: Ground truth-bird, Test result-horse
4656: Ground truth-horse, Test result-dog
4661: Ground truth-horse, Test result-cat
4662: Ground truth-deer, Test result-cat
4670: Ground truth-frog, Test result-bird
4679: Ground truth-truck, Test result-ship
4682: Ground truth-truck, Test result-automobile
4687: Ground truth-airplane, Test result-ship
4692: Ground truth-bird, Test result-frog
4694: Ground truth-deer, Test result-dog
4698: Ground truth-dog, Test result-cat
4706: Ground truth-cat, Test result-airplane
4708: Ground truth-horse, Test result-truck
4713: Ground truth-deer, Test result-cat
4717: Ground truth-truck, Test result-horse
4721: Ground truth-ship, Test result-airplane
4723: Ground truth-frog, Test result-cat
4730: Ground truth-bird, Test result-dog
4731: Ground truth-bird, Test result-deer
4733: Ground truth-bird, Test result-deer
4741: Ground truth-dog, Test result-cat
4745: Ground truth-frog, Test result-airplane
4746: Ground truth-horse, Test result-airplane
4749: Ground truth-airplane, Test result-automobile
4750: Ground truth-bird, Test result-deer
4751: Ground truth-horse, Test result-truck
4754: Ground truth-bird, Test result-truck
4755: Ground truth-cat, Test result-airplane
4761: Ground truth-cat, Test result-dog
4766: Ground truth-cat, Test result-deer
4780: Ground truth-truck, Test result-ship
4784: Ground truth-deer, Test result-airplane
4787: Ground truth-frog, Test result-bird
4791: Ground truth-automobile, Test result-truck
4793: Ground truth-airplane, Test result-deer
4794: Ground truth-frog, Test result-automobile
4795: Ground truth-deer, Test result-bird
4796: Ground truth-dog, Test result-cat
4802: Ground truth-bird, Test result-horse
4806: Ground truth-dog, Test result-cat
4809: Ground truth-cat, Test result-dog
4812: Ground truth-bird, Test result-airplane
4824: Ground truth-dog, Test result-ship
4827: Ground truth-cat, Test result-frog
4834: Ground truth-bird, Test result-deer
4845: Ground truth-dog, Test result-cat
4848: Ground truth-deer, Test result-cat
4850: Ground truth-dog, Test result-cat
4862: Ground truth-airplane, Test result-automobile
4863: Ground truth-cat, Test result-airplane
4866: Ground truth-ship, Test result-truck
4868: Ground truth-truck, Test result-automobile
4872: Ground truth-horse, Test result-dog
4874: Ground truth-bird, Test result-airplane
4881: Ground truth-airplane, Test result-ship
4885: Ground truth-deer, Test result-dog
4890: Ground truth-deer, Test result-horse
4893: Ground truth-horse, Test result-deer
4900: Ground truth-bird, Test result-deer
4903: Ground truth-deer, Test result-horse
4911: Ground truth-ship, Test result-truck
4922: Ground truth-dog, Test result-cat
4926: Ground truth-dog, Test result-cat
4930: Ground truth-truck, Test result-automobile
4932: Ground truth-truck, Test result-automobile
4939: Ground truth-cat, Test result-automobile
4942: Ground truth-frog, Test result-cat
4943: Ground truth-dog, Test result-airplane
4948: Ground truth-dog, Test result-cat
4956: Ground truth-bird, Test result-airplane
4965: Ground truth-dog, Test result-bird
4966: Ground truth-cat, Test result-deer
4973: Ground truth-ship, Test result-frog
4974: Ground truth-automobile, Test result-truck
4981: Ground truth-automobile, Test result-truck
4982: Ground truth-automobile, Test result-airplane
4983: Ground truth-cat, Test result-dog
4984: Ground truth-frog, Test result-bird
4985: Ground truth-horse, Test result-cat
4987: Ground truth-ship, Test result-truck
4991: Ground truth-horse, Test result-dog
4994: Ground truth-horse, Test result-truck
4996: Ground truth-bird, Test result-cat
4997: Ground truth-cat, Test result-dog
5007: Ground truth-horse, Test result-bird
5010: Ground truth-horse, Test result-bird
5012: Ground truth-cat, Test result-dog
5014: Ground truth-airplane, Test result-bird
5024: Ground truth-bird, Test result-deer
5030: Ground truth-cat, Test result-frog
5032: Ground truth-deer, Test result-airplane
5035: Ground truth-ship, Test result-airplane
5038: Ground truth-airplane, Test result-automobile
5049: Ground truth-automobile, Test result-truck
5051: Ground truth-cat, Test result-dog
5053: Ground truth-frog, Test result-deer
5054: Ground truth-horse, Test result-cat
5057: Ground truth-automobile, Test result-bird
5061: Ground truth-frog, Test result-bird
5062: Ground truth-automobile, Test result-frog
5068: Ground truth-truck, Test result-automobile
5071: Ground truth-horse, Test result-cat
5072: Ground truth-automobile, Test result-bird
5075: Ground truth-airplane, Test result-deer
5086: Ground truth-bird, Test result-frog
5087: Ground truth-cat, Test result-deer
5089: Ground truth-ship, Test result-dog
5094: Ground truth-airplane, Test result-ship
5099: Ground truth-dog, Test result-truck
5103: Ground truth-dog, Test result-bird
5107: Ground truth-frog, Test result-dog
5120: Ground truth-dog, Test result-horse
5121: Ground truth-truck, Test result-airplane
5128: Ground truth-automobile, Test result-ship
5130: Ground truth-bird, Test result-frog
5135: Ground truth-dog, Test result-frog
5145: Ground truth-airplane, Test result-truck
5149: Ground truth-cat, Test result-dog
5152: Ground truth-truck, Test result-airplane
5155: Ground truth-bird, Test result-deer
5156: Ground truth-cat, Test result-dog
5162: Ground truth-cat, Test result-dog
5163: Ground truth-horse, Test result-dog
5164: Ground truth-dog, Test result-cat
5170: Ground truth-bird, Test result-deer
5177: Ground truth-cat, Test result-truck
5184: Ground truth-deer, Test result-cat
5185: Ground truth-deer, Test result-frog
5186: Ground truth-cat, Test result-truck
5188: Ground truth-deer, Test result-cat
5192: Ground truth-cat, Test result-truck
5194: Ground truth-deer, Test result-cat
5203: Ground truth-truck, Test result-automobile
5204: Ground truth-frog, Test result-dog
5214: Ground truth-cat, Test result-horse
5216: Ground truth-bird, Test result-automobile
5219: Ground truth-cat, Test result-dog
5220: Ground truth-bird, Test result-frog
5231: Ground truth-ship, Test result-cat
5234: Ground truth-automobile, Test result-truck
5235: Ground truth-horse, Test result-dog
5236: Ground truth-automobile, Test result-frog
5239: Ground truth-bird, Test result-airplane
5242: Ground truth-deer, Test result-frog
5262: Ground truth-bird, Test result-horse
5269: Ground truth-cat, Test result-airplane
5274: Ground truth-horse, Test result-truck
5281: Ground truth-airplane, Test result-truck
5290: Ground truth-deer, Test result-bird
5293: Ground truth-deer, Test result-dog
5298: Ground truth-frog, Test result-cat
5303: Ground truth-airplane, Test result-bird
5310: Ground truth-cat, Test result-dog
5312: Ground truth-truck, Test result-cat
5315: Ground truth-horse, Test result-frog
5319: Ground truth-automobile, Test result-airplane
5321: Ground truth-horse, Test result-cat
5325: Ground truth-bird, Test result-airplane
5328: Ground truth-airplane, Test result-ship
5329: Ground truth-airplane, Test result-automobile
5330: Ground truth-deer, Test result-ship
5331: Ground truth-horse, Test result-cat
5341: Ground truth-cat, Test result-deer
5344: Ground truth-cat, Test result-bird
5345: Ground truth-bird, Test result-dog
5351: Ground truth-truck, Test result-automobile
5353: Ground truth-dog, Test result-cat
5363: Ground truth-bird, Test result-deer
5365: Ground truth-horse, Test result-deer
5367: Ground truth-automobile, Test result-truck
5373: Ground truth-dog, Test result-ship
5375: Ground truth-airplane, Test result-ship
5378: Ground truth-dog, Test result-cat
5379: Ground truth-automobile, Test result-horse
5380: Ground truth-deer, Test result-bird
5386: Ground truth-bird, Test result-cat
5387: Ground truth-automobile, Test result-ship
5388: Ground truth-cat, Test result-deer
5389: Ground truth-frog, Test result-dog
5393: Ground truth-airplane, Test result-automobile
5397: Ground truth-automobile, Test result-truck
5400: Ground truth-frog, Test result-cat
5402: Ground truth-bird, Test result-airplane
5405: Ground truth-bird, Test result-frog
5406: Ground truth-bird, Test result-airplane
5408: Ground truth-deer, Test result-horse
5411: Ground truth-cat, Test result-horse
5412: Ground truth-bird, Test result-frog
5414: Ground truth-cat, Test result-dog
5417: Ground truth-truck, Test result-automobile
5418: Ground truth-deer, Test result-cat
5425: Ground truth-cat, Test result-dog
5427: Ground truth-dog, Test result-cat
5429: Ground truth-deer, Test result-frog
5434: Ground truth-cat, Test result-dog
5436: Ground truth-horse, Test result-cat
5439: Ground truth-horse, Test result-deer
5442: Ground truth-dog, Test result-cat
5447: Ground truth-frog, Test result-dog
5451: Ground truth-dog, Test result-cat
5456: Ground truth-truck, Test result-automobile
5459: Ground truth-cat, Test result-frog
5461: Ground truth-airplane, Test result-cat
5469: Ground truth-dog, Test result-truck
5470: Ground truth-dog, Test result-cat
5488: Ground truth-frog, Test result-horse
5491: Ground truth-cat, Test result-dog
5497: Ground truth-deer, Test result-frog
5498: Ground truth-cat, Test result-deer
5507: Ground truth-cat, Test result-deer
5509: Ground truth-horse, Test result-dog
5512: Ground truth-cat, Test result-frog
5521: Ground truth-deer, Test result-bird
5526: Ground truth-cat, Test result-horse
5530: Ground truth-cat, Test result-ship
5535: Ground truth-frog, Test result-dog
5538: Ground truth-bird, Test result-dog
5545: Ground truth-airplane, Test result-cat
5548: Ground truth-bird, Test result-deer
5549: Ground truth-ship, Test result-airplane
5555: Ground truth-truck, Test result-ship
5556: Ground truth-deer, Test result-dog
5559: Ground truth-horse, Test result-bird
5560: Ground truth-cat, Test result-bird
5561: Ground truth-cat, Test result-dog
5581: Ground truth-dog, Test result-cat
5582: Ground truth-frog, Test result-cat
5583: Ground truth-deer, Test result-cat
5587: Ground truth-ship, Test result-airplane
5598: Ground truth-cat, Test result-ship
5604: Ground truth-dog, Test result-deer
5610: Ground truth-dog, Test result-airplane
5611: Ground truth-ship, Test result-bird
5612: Ground truth-dog, Test result-bird
5621: Ground truth-cat, Test result-bird
5622: Ground truth-ship, Test result-truck
5629: Ground truth-ship, Test result-truck
5630: Ground truth-frog, Test result-cat
5631: Ground truth-cat, Test result-deer
5633: Ground truth-cat, Test result-truck
5635: Ground truth-deer, Test result-bird
5641: Ground truth-bird, Test result-cat
5643: Ground truth-dog, Test result-horse
5646: Ground truth-dog, Test result-cat
5647: Ground truth-deer, Test result-ship
5648: Ground truth-dog, Test result-cat
5651: Ground truth-dog, Test result-cat
5655: Ground truth-deer, Test result-horse
5657: Ground truth-cat, Test result-horse
5659: Ground truth-deer, Test result-horse
5660: Ground truth-bird, Test result-dog
5662: Ground truth-deer, Test result-horse
5663: Ground truth-ship, Test result-automobile
5666: Ground truth-bird, Test result-airplane
5671: Ground truth-deer, Test result-frog
5674: Ground truth-dog, Test result-horse
5675: Ground truth-truck, Test result-ship
5678: Ground truth-horse, Test result-dog
5688: Ground truth-bird, Test result-airplane
5709: Ground truth-bird, Test result-dog
5710: Ground truth-bird, Test result-cat
5715: Ground truth-bird, Test result-deer
5726: Ground truth-dog, Test result-cat
5731: Ground truth-dog, Test result-cat
5737: Ground truth-truck, Test result-automobile
5740: Ground truth-bird, Test result-frog
5742: Ground truth-automobile, Test result-ship
5748: Ground truth-ship, Test result-airplane
5750: Ground truth-dog, Test result-cat
5753: Ground truth-cat, Test result-dog
5756: Ground truth-deer, Test result-dog
5775: Ground truth-dog, Test result-cat
5784: Ground truth-automobile, Test result-truck
5787: Ground truth-deer, Test result-horse
5788: Ground truth-airplane, Test result-automobile
5792: Ground truth-ship, Test result-truck
5795: Ground truth-horse, Test result-deer
5796: Ground truth-horse, Test result-deer
5798: Ground truth-dog, Test result-frog
5806: Ground truth-automobile, Test result-truck
5810: Ground truth-airplane, Test result-cat
5813: Ground truth-deer, Test result-cat
5815: Ground truth-ship, Test result-cat
5816: Ground truth-cat, Test result-dog
5818: Ground truth-cat, Test result-dog
5822: Ground truth-ship, Test result-cat
