25: Ground truth-dog, Test result-deer
3033: Ground truth-bird, Test result-automobile
3039: Ground truth-cat, Test result-deer
3043: Ground truth-ship, Test result-cat
3048: Ground truth-frog, Test result-cat
3050: Ground truth-cat, Test result-dog
3052: Ground truth-ship, Test result-bird
3053: Ground truth-cat, Test result-bird
3054: Ground truth-deer, Test result-cat
3055: Ground truth-deer, Test result-ship
3060: Ground truth-dog, Test result-horse
3068: Ground truth-cat, Test result-dog
3069: Ground truth-bird, Test result-airplane
3073: Ground truth-ship, Test result-automobile
3074: Ground truth-cat, Test result-dog
3076: Ground truth-frog, Test result-cat
3084: Ground truth-dog, Test result-airplane
3092: Ground truth-automobile, Test result-bird
3093: Ground truth-dog, Test result-horse
3095: Ground truth-bird, Test result-airplane
3098: Ground truth-airplane, Test result-horse
3109: Ground truth-ship, Test result-bird
3114: Ground truth-cat, Test result-bird
3115: Ground truth-bird, Test result-ship
3116: Ground truth-dog, Test result-bird
3120: Ground truth-deer, Test result-frog
3121: Ground truth-deer, Test result-bird
3136: Ground truth-horse, Test result-dog
3138: Ground truth-dog, Test result-cat
3140: Ground truth-bird, Test result-truck
3147: Ground truth-bird, Test result-airplane
3151: Ground truth-automobile, Test result-truck
3155: Ground truth-truck, Test result-airplane
3159: Ground truth-airplane, Test result-ship
3160: Ground truth-bird, Test result-dog
3165: Ground truth-airplane, Test result-bird
3166: Ground truth-automobile, Test result-truck
3172: Ground truth-airplane, Test result-automobile
3174: Ground truth-truck, Test result-automobile
3175: Ground truth-bird, Test result-cat
3178: Ground truth-airplane, Test result-bird
3181: Ground truth-cat, Test result-frog
3187: Ground truth-horse, Test result-airplane
3193: Ground truth-dog, Test result-deer
3194: Ground truth-bird, Test result-deer
3195: Ground truth-cat, Test result-dog
3202: Ground truth-frog, Test result-cat
3203: Ground truth-dog, Test result-cat
3205: Ground truth-dog, Test result-cat
3208: Ground truth-airplane, Test result-cat
3210: Ground truth-horse, Test result-dog
3212: Ground truth-airplane, Test result-automobile
3213: Ground truth-frog, Test result-bird
3219: Ground truth-truck, Test result-bird
3221: Ground truth-cat, Test result-truck
3228: Ground truth-bird, Test result-deer
3231: Ground truth-cat, Test result-dog
3237: Ground truth-dog, Test result-cat
3243: Ground truth-deer, Test result-horse
3247: Ground truth-automobile, Test result-ship
3251: Ground truth-bird, Test result-frog
3252: Ground truth-dog, Test result-cat
3265: Ground truth-dog, Test result-airplane
3272: Ground truth-dog, Test result-frog
3275: Ground truth-automobile, Test result-truck
3276: Ground truth-dog, Test result-horse
3277: Ground truth-deer, Test result-horse
3284: Ground truth-horse, Test result-cat
3288: Ground truth-dog, Test result-horse
3298: Ground truth-deer, Test result-cat
3300: Ground truth-airplane, Test result-bird
3302: Ground truth-ship, Test result-airplane
3307: Ground truth-dog, Test result-deer
3316: Ground truth-cat, Test result-dog
3320: Ground truth-bird, Test result-frog
3321: Ground truth-bird, Test result-truck
3322: Ground truth-airplane, Test result-bird
3325: Ground truth-cat, Test result-frog
3328: Ground truth-horse, Test result-cat
3335: Ground truth-dog, Test result-bird
3336: Ground truth-airplane, Test result-truck
3340: Ground truth-truck, Test result-cat
3344: Ground truth-cat, Test result-horse
3347: Ground truth-deer, Test result-ship
3350: Ground truth-frog, Test result-bird
3355: Ground truth-cat, Test result-airplane
3356: Ground truth-dog, Test result-bird
3358: Ground truth-ship, Test result-bird
3360: Ground truth-horse, Test result-cat
3370: Ground truth-dog, Test result-cat
3376: Ground truth-deer, Test result-frog
3382: Ground truth-dog, Test result-cat
3383: Ground truth-bird, Test result-deer
3391: Ground truth-cat, Test result-dog
3393: Ground truth-automobile, Test result-ship
3397: Ground truth-airplane, Test result-bird
3399: Ground truth-bird, Test result-airplane
3401: Ground truth-frog, Test result-ship
3415: Ground truth-cat, Test result-horse
3417: Ground truth-horse, Test result-deer
3418: Ground truth-horse, Test result-deer
3423: Ground truth-bird, Test result-cat
3430: Ground truth-airplane, Test result-bird
3431: Ground truth-ship, Test result-airplane
3437: Ground truth-deer, Test result-cat
3440: Ground truth-deer, Test result-cat
3441: Ground truth-bird, Test result-cat
3443: Ground truth-frog, Test result-cat
3444: Ground truth-deer, Test result-bird
3445: Ground truth-airplane, Test result-bird
3447: Ground truth-frog, Test result-cat
3451: Ground truth-truck, Test result-automobile
3453: Ground truth-dog, Test result-cat
3460: Ground truth-truck, Test result-automobile
3462: Ground truth-horse, Test result-dog
3470: Ground truth-truck, Test result-automobile
3471: Ground truth-horse, Test result-truck
3482: Ground truth-horse, Test result-dog
3490: Ground truth-cat, Test result-truck
3495: Ground truth-airplane, Test result-truck
3496: Ground truth-bird, Test result-dog
3497: Ground truth-dog, Test result-airplane
3498: Ground truth-airplane, Test result-automobile
3499: Ground truth-deer, Test result-ship
3502: Ground truth-truck, Test result-automobile
3503: Ground truth-ship, Test result-truck
3504: Ground truth-deer, Test result-horse
3506: Ground truth-deer, Test result-dog
3507: Ground truth-bird, Test result-frog
3512: Ground truth-airplane, Test result-ship
3514: Ground truth-cat, Test result-frog
3515: Ground truth-bird, Test result-dog
3518: Ground truth-automobile, Test result-bird
3524: Ground truth-deer, Test result-frog
3525: Ground truth-dog, Test result-deer
3530: Ground truth-frog, Test result-cat
3532: Ground truth-ship, Test result-truck
3551: Ground truth-airplane, Test result-deer
3555: Ground truth-automobile, Test result-truck
3556: Ground truth-frog, Test result-cat
3558: Ground truth-truck, Test result-frog
3561: Ground truth-automobile, Test result-truck
3562: Ground truth-horse, Test result-dog
3563: Ground truth-ship, Test result-airplane
3565: Ground truth-truck, Test result-airplane
3570: Ground truth-truck, Test result-frog
3573: Ground truth-cat, Test result-frog
3575: Ground truth-dog, Test result-airplane
3577: Ground truth-deer, Test result-horse
3578: Ground truth-truck, Test result-automobile
3582: Ground truth-deer, Test result-frog
3585: Ground truth-cat, Test result-dog
3588: Ground truth-airplane, Test result-frog
3595: Ground truth-cat, Test result-dog
3597: Ground truth-bird, Test result-frog
3601: Ground truth-deer, Test result-bird
3606: Ground truth-frog, Test result-deer
3608: Ground truth-cat, Test result-bird
3611: Ground truth-dog, Test result-cat
3612: Ground truth-automobile, Test result-truck
3615: Ground truth-cat, Test result-dog
3616: Ground truth-frog, Test result-bird
3619: Ground truth-deer, Test result-bird
3622: Ground truth-deer, Test result-bird
3623: Ground truth-dog, Test result-cat
3625: Ground truth-bird, Test result-deer
3632: Ground truth-airplane, Test result-truck
3638: Ground truth-bird, Test result-frog
3641: Ground truth-frog, Test result-bird
3646: Ground truth-automobile, Test result-truck
3654: Ground truth-ship, Test result-airplane
3655: Ground truth-cat, Test result-dog
3659: Ground truth-bird, Test result-deer
3666: Ground truth-horse, Test result-deer
3669: Ground truth-bird, Test result-frog
3670: Ground truth-dog, Test result-cat
3674: Ground truth-bird, Test result-automobile
3684: Ground truth-ship, Test result-cat
3688: Ground truth-truck, Test result-automobile
3689: Ground truth-dog, Test result-cat
3691: Ground truth-truck, Test result-automobile
3694: Ground truth-frog, Test result-dog
3697: Ground truth-deer, Test result-bird
3698: Ground truth-deer, Test result-dog
3701: Ground truth-cat, Test result-dog
3705: Ground truth-dog, Test result-automobile
3712: Ground truth-frog, Test result-deer
3717: Ground truth-cat, Test result-frog
3722: Ground truth-bird, Test result-airplane
3725: Ground truth-frog, Test result-bird
3726: Ground truth-bird, Test result-airplane
3727: Ground truth-dog, Test result-cat
3729: Ground truth-bird, Test result-cat
3734: Ground truth-bird, Test result-cat
3737: Ground truth-cat, Test result-bird
3738: Ground truth-bird, Test result-dog
3742: Ground truth-bird, Test result-horse
3747: Ground truth-horse, Test result-bird
3754: Ground truth-deer, Test result-frog
3756: Ground truth-truck, Test result-airplane
3763: Ground truth-automobile, Test result-airplane
3767: Ground truth-deer, Test result-horse
3772: Ground truth-bird, Test result-airplane
3773: Ground truth-automobile, Test result-ship
3774: Ground truth-bird, Test result-dog
3779: Ground truth-horse, Test result-deer
3780: Ground truth-cat, Test result-bird
3786: Ground truth-frog, Test result-bird
3790: Ground truth-truck, Test result-bird
3800: Ground truth-cat, Test result-horse
3802: Ground truth-bird, Test result-airplane
3807: Ground truth-dog, Test result-deer
3816: Ground truth-bird, Test result-horse
3817: Ground truth-bird, Test result-deer
3825: Ground truth-bird, Test result-deer
3828: Ground truth-deer, Test result-cat
3829: Ground truth-automobile, Test result-deer
3833: Ground truth-horse, Test result-airplane
3841: Ground truth-frog, Test result-cat
3860: Ground truth-cat, Test result-truck
3865: Ground truth-cat, Test result-truck
3868: Ground truth-cat, Test result-dog
3869: Ground truth-dog, Test result-bird
3876: Ground truth-bird, Test result-horse
3879: Ground truth-dog, Test result-cat
3883: Ground truth-automobile, Test result-truck
3884: Ground truth-horse, Test result-deer
3885: Ground truth-cat, Test result-dog
3888: Ground truth-bird, Test result-deer
3893: Ground truth-dog, Test result-cat
3897: Ground truth-horse, Test result-bird
3898: Ground truth-airplane, Test result-ship
3900: Ground truth-frog, Test result-bird
3901: Ground truth-cat, Test result-frog
3902: Ground truth-cat, Test result-automobile
3903: Ground truth-truck, Test result-automobile
3907: Ground truth-cat, Test result-airplane
3911: Ground truth-deer, Test result-frog
3918: Ground truth-horse, Test result-dog
3923: Ground truth-bird, Test result-deer
3924: Ground truth-cat, Test result-deer
3929: Ground truth-cat, Test result-bird
3943: Ground truth-automobile, Test result-truck
3958: Ground truth-truck, Test result-ship
3963: Ground truth-deer, Test result-horse
3964: Ground truth-automobile, Test result-dog
3971: Ground truth-truck, Test result-deer
3978: Ground truth-cat, Test result-frog
3981: Ground truth-truck, Test result-deer
3982: Ground truth-dog, Test result-cat
3996: Ground truth-horse, Test result-truck
3997: Ground truth-frog, Test result-dog
3998: Ground truth-bird, Test result-deer
4001: Ground truth-ship, Test result-truck
4002: Ground truth-bird, Test result-cat
4003: Ground truth-deer, Test result-horse
4004: Ground truth-bird, Test result-airplane
4012: Ground truth-horse, Test result-ship
4013: Ground truth-cat, Test result-truck
4020: Ground truth-horse, Test result-deer
4024: Ground truth-deer, Test result-cat
4030: Ground truth-deer, Test result-cat
4033: Ground truth-cat, Test result-dog
4037: Ground truth-horse, Test result-airplane
4039: Ground truth-airplane, Test result-truck
4043: Ground truth-deer, Test result-airplane
4049: Ground truth-dog, Test result-horse
4052: Ground truth-dog, Test result-cat
4055: Ground truth-horse, Test result-airplane
4056: Ground truth-automobile, Test result-airplane
4064: Ground truth-horse, Test result-deer
4078: Ground truth-cat, Test result-dog
4086: Ground truth-ship, Test result-deer
4090: Ground truth-dog, Test result-bird
4095: Ground truth-cat, Test result-dog
4097: Ground truth-ship, Test result-airplane
4098: Ground truth-cat, Test result-horse
4099: Ground truth-truck, Test result-airplane
4100: Ground truth-deer, Test result-cat
4104: Ground truth-ship, Test result-airplane
4107: Ground truth-cat, Test result-airplane
4108: Ground truth-cat, Test result-bird
4112: Ground truth-deer, Test result-horse
4113: Ground truth-deer, Test result-dog
4115: Ground truth-deer, Test result-frog
4126: Ground truth-ship, Test result-bird
4134: Ground truth-bird, Test result-cat
4135: Ground truth-automobile, Test result-truck
4138: Ground truth-deer, Test result-dog
4139: Ground truth-deer, Test result-frog
4140: Ground truth-dog, Test result-deer
4141: Ground truth-dog, Test result-horse
4148: Ground truth-cat, Test result-bird
4152: Ground truth-frog, Test result-deer
4153: Ground truth-dog, Test result-automobile
4164: Ground truth-bird, Test result-frog
4174: Ground truth-deer, Test result-airplane
4176: Ground truth-cat, Test result-horse
4191: Ground truth-cat, Test result-horse
4194: Ground truth-truck, Test result-airplane
4199: Ground truth-ship, Test result-airplane
4211: Ground truth-cat, Test result-automobile
4212: Ground truth-deer, Test result-horse
4221: Ground truth-deer, Test result-airplane
4224: Ground truth-ship, Test result-airplane
4228: Ground truth-deer, Test result-cat
4231: Ground truth-frog, Test result-cat
4245: Ground truth-bird, Test result-horse
4248: Ground truth-dog, Test result-horse
4251: Ground truth-automobile, Test result-frog
4265: Ground truth-bird, Test result-cat
4271: Ground truth-airplane, Test result-cat
4277: Ground truth-truck, Test result-automobile
4278: Ground truth-cat, Test result-dog
4281: Ground truth-ship, Test result-airplane
4282: Ground truth-horse, Test result-dog
4286: Ground truth-automobile, Test result-cat
4287: Ground truth-bird, Test result-airplane
4297: Ground truth-ship, Test result-automobile
4299: Ground truth-truck, Test result-automobile
4300: Ground truth-bird, Test result-ship
4302: Ground truth-frog, Test result-deer
4303: Ground truth-bird, Test result-cat
4305: Ground truth-frog, Test result-dog
4308: Ground truth-cat, Test result-dog
4310: Ground truth-horse, Test result-bird
4314: Ground truth-airplane, Test result-cat
4316: Ground truth-frog, Test result-bird
4320: Ground truth-bird, Test result-frog
4321: Ground truth-automobile, Test result-airplane
4322: Ground truth-dog, Test result-cat
4326: Ground truth-frog, Test result-bird
4332: Ground truth-bird, Test result-deer
4335: Ground truth-cat, Test result-horse
4336: Ground truth-truck, Test result-ship
4346: Ground truth-frog, Test result-bird
4356: Ground truth-airplane, Test result-cat
4358: Ground truth-deer, Test result-cat
4369: Ground truth-deer, Test result-cat
4376: Ground truth-cat, Test result-deer
4377: Ground truth-horse, Test result-deer
4382: Ground truth-horse, Test result-deer
4384: Ground truth-deer, Test result-bird
4392: Ground truth-cat, Test result-airplane
4393: Ground truth-dog, Test result-bird
4394: Ground truth-cat, Test result-truck
4399: Ground truth-deer, Test result-cat
4405: Ground truth-cat, Test result-deer
4409: Ground truth-airplane, Test result-automobile
4410: Ground truth-ship, Test result-automobile
4417: Ground truth-deer, Test result-frog
4422: Ground truth-bird, Test result-dog
4424: Ground truth-frog, Test result-bird
4433: Ground truth-horse, Test result-dog
4443: Ground truth-cat, Test result-truck
4448: Ground truth-airplane, Test result-automobile
4449: Ground truth-deer, Test result-frog
4450: Ground truth-truck, Test result-automobile
4454: Ground truth-airplane, Test result-bird
4463: Ground truth-bird, Test result-dog
4464: Ground truth-dog, Test result-bird
4471: Ground truth-airplane, Test result-truck
4477: Ground truth-automobile, Test result-cat
4478: Ground truth-frog, Test result-deer
4480: Ground truth-horse, Test result-deer
4482: Ground truth-truck, Test result-ship
4486: Ground truth-cat, Test result-horse
4487: Ground truth-ship, Test result-automobile
4500: Ground truth-cat, Test result-frog
4501: Ground truth-cat, Test result-dog
4504: Ground truth-horse, Test result-deer
4505: Ground truth-airplane, Test result-dog
4509: Ground truth-truck, Test result-ship
4513: Ground truth-ship, Test result-airplane
4514: Ground truth-deer, Test result-cat
4522: Ground truth-truck, Test result-cat
4528: Ground truth-cat, Test result-dog
4538: Ground truth-cat, Test result-frog
4540: Ground truth-ship, Test result-truck
4548: Ground truth-cat, Test result-dog
4551: Ground truth-truck, Test result-deer
4556: Ground truth-dog, Test result-cat
4557: Ground truth-bird, Test result-ship
4560: Ground truth-cat, Test result-frog
4562: Ground truth-cat, Test result-dog
4563: Ground truth-deer, Test result-dog
4566: Ground truth-bird, Test result-horse
4583: Ground truth-ship, Test result-automobile
4591: Ground truth-truck, Test result-bird
4594: Ground truth-dog, Test result-cat
4597: Ground truth-horse, Test result-dog
4600: Ground truth-ship, Test result-automobile
4601: Ground truth-deer, Test result-horse
4606: Ground truth-cat, Test result-bird
4607: Ground truth-airplane, Test result-bird
4611: Ground truth-frog, Test result-cat
4616: Ground truth-dog, Test result-frog
4619: Ground truth-cat, Test result-frog
4623: Ground truth-bird, Test result-deer
4625: Ground truth-dog, Test result-deer
4629: Ground truth-dog, Test result-horse
4631: Ground truth-bird, Test result-cat
4633: Ground truth-dog, Test result-deer
4635: Ground truth-horse, Test result-dog
4644: Ground truth-cat, Test result-bird
4647: Ground truth-bird, Test result-dog
4656: Ground truth-horse, Test result-dog
4661: Ground truth-horse, Test result-deer
4662: Ground truth-deer, Test result-dog
4679: Ground truth-truck, Test result-ship
4682: Ground truth-truck, Test result-automobile
4687: Ground truth-airplane, Test result-ship
4692: Ground truth-bird, Test result-frog
4693: Ground truth-ship, Test result-airplane
4698: Ground truth-dog, Test result-cat
4700: Ground truth-dog, Test result-bird
4706: Ground truth-cat, Test result-airplane
4710: Ground truth-ship, Test result-truck
4721: Ground truth-ship, Test result-airplane
4730: Ground truth-bird, Test result-dog
4731: Ground truth-bird, Test result-deer
4733: Ground truth-bird, Test result-deer
4741: Ground truth-dog, Test result-cat
4745: Ground truth-frog, Test result-airplane
4749: Ground truth-airplane, Test result-automobile
4751: Ground truth-horse, Test result-truck
4755: Ground truth-cat, Test result-airplane
4761: Ground truth-cat, Test result-bird
4766: Ground truth-cat, Test result-deer
4780: Ground truth-truck, Test result-automobile
4784: Ground truth-deer, Test result-horse
4785: Ground truth-airplane, Test result-ship
4787: Ground truth-frog, Test result-bird
4793: Ground truth-airplane, Test result-deer
4794: Ground truth-frog, Test result-automobile
4795: Ground truth-deer, Test result-bird
4796: Ground truth-dog, Test result-cat
4802: Ground truth-bird, Test result-horse
4806: Ground truth-dog, Test result-cat
4809: Ground truth-cat, Test result-dog
4812: Ground truth-bird, Test result-airplane
4819: Ground truth-cat, Test result-truck
4824: Ground truth-dog, Test result-ship
4831: Ground truth-cat, Test result-frog
4833: Ground truth-deer, Test result-bird
4834: Ground truth-bird, Test result-deer
4848: Ground truth-deer, Test result-cat
4850: Ground truth-dog, Test result-cat
4853: Ground truth-truck, Test result-airplane
4862: Ground truth-airplane, Test result-truck
4863: Ground truth-cat, Test result-bird
4866: Ground truth-ship, Test result-truck
4871: Ground truth-ship, Test result-airplane
4874: Ground truth-bird, Test result-airplane
4880: Ground truth-frog, Test result-deer
4881: Ground truth-airplane, Test result-truck
4884: Ground truth-bird, Test result-dog
4885: Ground truth-deer, Test result-cat
4888: Ground truth-dog, Test result-cat
4890: Ground truth-deer, Test result-cat
4893: Ground truth-horse, Test result-deer
4895: Ground truth-frog, Test result-bird
4903: Ground truth-deer, Test result-horse
4918: Ground truth-dog, Test result-bird
4927: Ground truth-horse, Test result-truck
4930: Ground truth-truck, Test result-automobile
4932: Ground truth-truck, Test result-automobile
4933: Ground truth-truck, Test result-automobile
4939: Ground truth-cat, Test result-truck
4942: Ground truth-frog, Test result-cat
4943: Ground truth-dog, Test result-airplane
4946: Ground truth-truck, Test result-automobile
4947: Ground truth-deer, Test result-frog
4948: Ground truth-dog, Test result-cat
4956: Ground truth-bird, Test result-airplane
4963: Ground truth-cat, Test result-dog
4964: Ground truth-cat, Test result-bird
4965: Ground truth-dog, Test result-bird
4966: Ground truth-cat, Test result-bird
4973: Ground truth-ship, Test result-cat
4974: Ground truth-automobile, Test result-truck
4975: Ground truth-horse, Test result-dog
4982: Ground truth-automobile, Test result-airplane
4983: Ground truth-cat, Test result-dog
4985: Ground truth-horse, Test result-dog
4986: Ground truth-deer, Test result-bird
4987: Ground truth-ship, Test result-bird
4991: Ground truth-horse, Test result-dog
4996: Ground truth-bird, Test result-dog
4997: Ground truth-cat, Test result-dog
5003: Ground truth-ship, Test result-airplane
5007: Ground truth-horse, Test result-bird
5010: Ground truth-horse, Test result-bird
5012: Ground truth-cat, Test result-dog
5014: Ground truth-airplane, Test result-bird
5024: Ground truth-bird, Test result-deer
5031: Ground truth-deer, Test result-bird
5032: Ground truth-deer, Test result-airplane
5035: Ground truth-ship, Test result-airplane
5039: Ground truth-deer, Test result-cat
5047: Ground truth-dog, Test result-bird
5049: Ground truth-automobile, Test result-ship
5051: Ground truth-cat, Test result-dog
5054: Ground truth-horse, Test result-cat
5057: Ground truth-automobile, Test result-bird
5058: Ground truth-bird, Test result-deer
5072: Ground truth-automobile, Test result-frog
5075: Ground truth-airplane, Test result-bird
5078: Ground truth-airplane, Test result-bird
5086: Ground truth-bird, Test result-frog
5087: Ground truth-cat, Test result-deer
5089: Ground truth-ship, Test result-dog
5091: Ground truth-automobile, Test result-ship
5094: Ground truth-airplane, Test result-ship
5096: Ground truth-ship, Test result-airplane
5099: Ground truth-dog, Test result-bird
5103: Ground truth-dog, Test result-deer
5107: Ground truth-frog, Test result-dog
5114: Ground truth-frog, Test result-deer
5120: Ground truth-dog, Test result-horse
5124: Ground truth-horse, Test result-bird
5128: Ground truth-automobile, Test result-ship
5129: Ground truth-cat, Test result-deer
5130: Ground truth-bird, Test result-frog
5131: Ground truth-dog, Test result-bird
5135: Ground truth-dog, Test result-cat
5142: Ground truth-frog, Test result-cat
5145: Ground truth-airplane, Test result-automobile
5152: Ground truth-truck, Test result-airplane
5155: Ground truth-bird, Test result-deer
5156: Ground truth-cat, Test result-dog
5163: Ground truth-horse, Test result-bird
5164: Ground truth-dog, Test result-cat
5178: Ground truth-deer, Test result-cat
5179: Ground truth-dog, Test result-cat
5184: Ground truth-deer, Test result-bird
5185: Ground truth-deer, Test result-frog
5188: Ground truth-deer, Test result-dog
5194: Ground truth-deer, Test result-bird
5195: Ground truth-horse, Test result-cat
5198: Ground truth-ship, Test result-deer
5201: Ground truth-cat, Test result-dog
5204: Ground truth-frog, Test result-dog
5207: Ground truth-cat, Test result-deer
5208: Ground truth-ship, Test result-truck
5211: Ground truth-dog, Test result-cat
5212: Ground truth-horse, Test result-cat
5213: Ground truth-dog, Test result-cat
5214: Ground truth-cat, Test result-horse
5219: Ground truth-cat, Test result-dog
5220: Ground truth-bird, Test result-frog
5223: Ground truth-dog, Test result-cat
5228: Ground truth-deer, Test result-frog
5233: Ground truth-cat, Test result-dog
5236: Ground truth-automobile, Test result-frog
5239: Ground truth-bird, Test result-airplane
5241: Ground truth-automobile, Test result-truck
5242: Ground truth-deer, Test result-frog
5262: Ground truth-bird, Test result-horse
5269: Ground truth-cat, Test result-airplane
5273: Ground truth-cat, Test result-dog
5274: Ground truth-horse, Test result-truck
5279: Ground truth-airplane, Test result-automobile
5288: Ground truth-horse, Test result-cat
5290: Ground truth-deer, Test result-bird
5293: Ground truth-deer, Test result-horse
5299: Ground truth-dog, Test result-cat
5303: Ground truth-airplane, Test result-bird
5310: Ground truth-cat, Test result-dog
5312: Ground truth-truck, Test result-bird
5315: Ground truth-horse, Test result-cat
5319: Ground truth-automobile, Test result-airplane
5321: Ground truth-horse, Test result-cat
5325: Ground truth-bird, Test result-ship
5328: Ground truth-airplane, Test result-ship
5329: Ground truth-airplane, Test result-automobile
5330: Ground truth-deer, Test result-ship
5331: Ground truth-horse, Test result-cat
5341: Ground truth-cat, Test result-deer
5347: Ground truth-horse, Test result-deer
5351: Ground truth-truck, Test result-automobile
5353: Ground truth-dog, Test result-cat
5355: Ground truth-airplane, Test result-deer
5359: Ground truth-automobile, Test result-ship
5363: Ground truth-bird, Test result-deer
5367: Ground truth-automobile, Test result-truck
5370: Ground truth-deer, Test result-bird
5373: Ground truth-dog, Test result-cat
5377: Ground truth-dog, Test result-cat
5378: Ground truth-dog, Test result-cat
5381: Ground truth-automobile, Test result-truck
5386: Ground truth-bird, Test result-cat
5387: Ground truth-automobile, Test result-truck
5400: Ground truth-frog, Test result-cat
5405: Ground truth-bird, Test result-frog
5406: Ground truth-bird, Test result-airplane
5408: Ground truth-deer, Test result-horse
5411: Ground truth-cat, Test result-horse
5412: Ground truth-bird, Test result-frog
5414: Ground truth-cat, Test result-dog
5417: Ground truth-truck, Test result-automobile
5434: Ground truth-cat, Test result-dog
5436: Ground truth-horse, Test result-deer
5442: Ground truth-dog, Test result-cat
5448: Ground truth-dog, Test result-cat
5451: Ground truth-dog, Test result-cat
5456: Ground truth-truck, Test result-airplane
5457: Ground truth-automobile, Test result-ship
5459: Ground truth-cat, Test result-frog
5461: Ground truth-airplane, Test result-horse
5462: Ground truth-airplane, Test result-cat
5465: Ground truth-horse, Test result-deer
5470: Ground truth-dog, Test result-cat
5482: Ground truth-horse, Test result-dog
5488: Ground truth-frog, Test result-bird
5491: Ground truth-cat, Test result-dog
5494: Ground truth-cat, Test result-airplane
5497: Ground truth-deer, Test result-frog
5498: Ground truth-cat, Test result-bird
5499: Ground truth-truck, Test result-automobile
5505: Ground truth-dog, Test result-frog
5507: Ground truth-cat, Test result-deer
5512: Ground truth-cat, Test result-frog
5513: Ground truth-truck, Test result-bird
5518: Ground truth-automobile, Test result-truck
5519: Ground truth-cat, Test result-dog
5521: Ground truth-deer, Test result-frog
5526: Ground truth-cat, Test result-deer
5530: Ground truth-cat, Test result-ship
5531: Ground truth-cat, Test result-frog
5535: Ground truth-frog, Test result-deer
5538: Ground truth-bird, Test result-dog
5549: Ground truth-ship, Test result-airplane
5552: Ground truth-horse, Test result-cat
5553: Ground truth-dog, Test result-ship
5556: Ground truth-deer, Test result-dog
5557: Ground truth-frog, Test result-automobile
5560: Ground truth-cat, Test result-bird
5561: Ground truth-cat, Test result-dog
5563: Ground truth-deer, Test result-horse
5572: Ground truth-airplane, Test result-horse
5581: Ground truth-dog, Test result-cat
5582: Ground truth-frog, Test result-dog
5583: Ground truth-deer, Test result-cat
5598: Ground truth-cat, Test result-ship
5601: Ground truth-frog, Test result-deer
5608: Ground truth-frog, Test result-airplane
5610: Ground truth-dog, Test result-horse
5612: Ground truth-dog, Test result-bird
5621: Ground truth-cat, Test result-dog
5622: Ground truth-ship, Test result-truck
5629: Ground truth-ship, Test result-automobile
5631: Ground truth-cat, Test result-deer
5635: Ground truth-deer, Test result-dog
5641: Ground truth-bird, Test result-cat
5643: Ground truth-dog, Test result-deer
5646: Ground truth-dog, Test result-cat
5647: Ground truth-deer, Test result-ship
5651: Ground truth-dog, Test result-horse
5655: Ground truth-deer, Test result-bird
5657: Ground truth-cat, Test result-horse
5659: Ground truth-deer, Test result-horse
5666: Ground truth-bird, Test result-airplane
5671: Ground truth-deer, Test result-dog
5678: Ground truth-horse, Test result-deer
5681: Ground truth-bird, Test result-airplane
5682: Ground truth-cat, Test result-frog
5683: Ground truth-dog, Test result-cat
5688: Ground truth-bird, Test result-airplane
5699: Ground truth-horse, Test result-dog
5701: Ground truth-cat, Test result-dog
5709: Ground truth-bird, Test result-dog
5719: Ground truth-automobile, Test result-ship
5720: Ground truth-bird, Test result-dog
5726: Ground truth-dog, Test result-cat
5731: Ground truth-dog, Test result-automobile
5740: Ground truth-bird, Test result-frog
5748: Ground truth-ship, Test result-airplane
5752: Ground truth-deer, Test result-bird
5753: Ground truth-cat, Test result-truck
5755: Ground truth-cat, Test result-dog
5756: Ground truth-deer, Test result-cat
5784: Ground truth-automobile, Test result-truck
5788: Ground truth-airplane, Test result-automobile
5792: Ground truth-ship, Test result-truck
5795: Ground truth-horse, Test result-deer
5796: Ground truth-horse, Test result-deer
5798: Ground truth-dog, Test result-cat
5813: Ground truth-deer, Test result-cat
5815: Ground truth-ship, Test result-airplane
5816: Ground truth-cat, Test result-frog
5818: Ground truth-cat, Test result-dog
5820: Ground truth-bird, Test result-airplane
5821: Ground truth-dog, Test result-bird
5822: Ground truth-ship, Test result-truck
5831: Ground truth-dog, Test result-cat
5834: Ground truth-cat, Test result-dog
5838: Ground truth-bird, Test result-cat
5840: Ground truth-bird, Test result-frog
5843: Ground truth-horse, Test result-cat
5849: Ground truth-deer, Test result-cat
5850: Ground truth-dog, Test result-bird
5853: Ground truth-cat, Test result-bird
5856: Ground truth-horse, Test result-bird
5857: Ground truth-cat, Test result-dog
5862: Ground truth-automobile, Test result-truck
5863: Ground truth-bird, Test result-dog
5872: Ground truth-frog, Test result-cat
5873: Ground truth-horse, Test result-deer
5874: Ground truth-deer, Test result-dog
5882: Ground truth-cat, Test result-dog
5883: Ground truth-automobile, Test result-truck
5885: Ground truth-deer, Test result-horse
5887: Ground truth-bird, Test result-cat
5890: Ground truth-frog, Test result-bird
5891: Ground truth-cat, Test result-dog
5897: Ground truth-ship, Test result-truck
5901: Ground truth-deer, Test result-cat
5902: Ground truth-dog, Test result-frog
5904: Ground truth-deer, Test result-airplane
5909: Ground truth-cat, Test result-horse
5910: Ground truth-automobile, Test result-truck
5911: Ground truth-bird, Test result-cat
5916: Ground truth-dog, Test result-cat
5918: Ground truth-cat, Test result-deer
